p_id,p_name,p_id_shop,p_shop_name,p_brand,p_categories,p_day_created,p_sold_quantity,p_original_price,p_current_price,p_discount_rate
188838171,ĐÈN LED LASER CHIẾU SAO BẦU TRỜI ĐẦU CẮM USB,132726.0,ATN SYSTEM,OEM,Đèn khác,189.0,28,54000,54000,0
73829087,Kệ rổ đựng đồ rửa chén có khay hứng nước HOBBY KRC5 - Inox 304 nhỏ gọn tiện lợi không rỉ sét,20023.0,Hobby Home Decor,Hobby Home Decor,Kệ nhà bếp,757.0,877,159000,105000,34
63051860, Đèn Học Làm Việc Đọc Sách Để Bàn Pixar Chống Cận Thị Bảo Vệ Mắt - Hàng Chính Hãng eLights,97355.0,Future Store,eLights,Nhà Cửa - Đời Sống,853.0,2580,189000,169000,11
161455657,Bóng đèn led 30W TAT,263733.0,Shop đèn led biên hoà,OEM,Root,328.0,1175,19000,19000,0
114204740,Bình giữ nhiệt inox 304 Sunhouse 900ml KS-TU900I,182530.0,GIADUNG TẤN PHÁT,Sunhouse,Bình giữ nhiệt,533.0,1,143500,143500,0
161455624,bóng đèn led 50W siêu sáng có ,203034.0,Gia Dụng Trí Vũ,OEM,Root,328.0,0,52000,52000,0
35958689,"Thang nhôm rút đôi chữ a Nhật Bản HAKAWA HK256 (5,6M) - Phân phối chính hãng - Nhỏ gọn tiện lợi ",8081.0,Thang Nhôm HAKAWA,HAKAWA,Nhà Cửa - Đời Sống,1181.0,239,5600000,3900000,30
150662102,Bộ ga giường và vỏ gối Cotton Tici M2T Bedding ga gối Cotton Hàn Quốc đủ size drap nệm,252297.0,M2T Bedding Official,M2T BEDDING,Root,383.0,79,250000,200000,20
26491454,Bộ 1 gói Hạt giống rau bạc hà italian (húng bạc hà),42056.0,KoyShop,OEM,Nhà Cửa - Đời Sống,1153.0,1584,6895,6826,1
172340730,"Túi Zip Bạc 1 Mặt Bạc, 1kg Túi Zip Bạc Đáy Đứng Đựng Thực Phẩm Cao Cấp",233963.0,Siêu thị túi đóng gói Elas House,OEM,"Túi, màng bọc thực phẩm",284.0,46,89000,45000,49
137226640,Nhang xanh trầm hương phổ thông - Hộp 500 gram,183040.0,HOÀNG VÂN SHOP,Nhang Xanh,"Hương, nhang",426.0,399,165000,165000,0
199535959,Cây Treo Quần Áo 3 Chân 8 Nhánh Treo Bằng Gỗ Cao Su Cao Cấp - Thương hiệu Viet Home Decor,69415.0,Viet Home Decor,Viet Home Decor,"Giá, kệ phơi quần áo",92.0,32,500000,330000,34
58207999,Thùng Đá Duy Tân (Họa Tiết Ngẫu Nhiên),112953.0,Ngọc Diệp HCM,Duy Tân,Root,902.0,6,235000,235000,0
16170433,"Combo 3 lõi lọc nước yamato 1,2,3 - 10 inch",8413.0,SMY (Tp.HCM),YAMATO,Lõi lọc,1328.0,805,190000,120100,37
1021671,Màng Bọc Thực Phẩm Ringo ST612SC 8936009561872 (30cm x 500m),98343.0,sieuthiat68,RINGO,"Màng nhôm, giấy bạc bọc thực phẩm",1840.0,528,255000,238500,6
50393230,Nhang Sạch Phòng Máy Lạnh - Ít khói - Hương trầm dịu nhẹ - Chân tăm mộc - Nhang Xanh ,3280.0,Nhang Xanh Official,Nhang Xanh,Nhà Cửa - Đời Sống,1027.0,480,27000,25200,7
162224791,(Size 137*180cm) Khăn Trải Bàn PVC/ Khăn Trải Bàn Họa Tiết Đa Dạng Siêu Xinh/ Khăn Bàn Ăn Chống Thấm Nước,152674.0,nhaxinhxinh,OEM,Root,323.0,58,40400,40400,0
11747533,Máy Khò Nhiệt màng  Khò nhiệt 2000W + móc khóa kĩ thuật,249606.0,gia dụng kim biên,OEM,Các loại máy khác,1388.0,0,366450,366450,0
50231888,Bộ Bàn ăn gỗ sồi mặt đá  Granite 6 ghế hàng chuẩn xuất khẩu ,218707.0,DAN ORGANIC,OEM,Bàn ghế,1029.0,0,10789000,10789000,0
142331006,Chuôi đèn liền công tắc Điện Quang ĐQ LH E27 ,17490.0,Điện Quang Official Store,Điện Quang,Linh kiện đèn,408.0,235,49800,40000,20
51969021,"Màng PE, Màng bọc hàng, Màng quấn pallet 50cm x 2kg",20680.0,SG Titapha Co LTD,Titapha,Khác,1003.0,457,159000,123000,23
99688742,"Khuôn Thạch Bi Tròn Hoa Quả Trái Cây/ Khuôn Rau Câu, Khay đá Viên Tròn 33 Viên",53713.0,linhkien1984,OEM,Root,593.0,0,15900,15900,0
160290544,"Dây chằng hàng, buộc hàng tăng đơ không móc, màu cam bản 2.5cm chiều dài 2 đến 15m - NIKITA",19288.0,NIKITA Official Store,Nikita,Dụng cụ ngoài trời khác,348.0,125,55680,46000,17
51462534,Thùng rác đạp chữ nhật Hiro 20L - trắng xanh đậm,17480.0,Ghế Nam Việt,Inochi,"Thùng rác, đồ hốt rác",1010.0,25,289000,289000,0
28039453,Bộ dụng cụ thông tắc bồn cầu và các loại ống nước bằng khí nén - Canino cao cấp,298269.0,ThuyDungShop2002,OEM,Nhà Cửa - Đời Sống,1227.0,0,179000,179000,0
59452929,Chén Chấm Sứ Trắng Bên Trong Nhiều Màu- Cổ Điển pha Lẫn Hiện Đại- Gốm Sứ Nhật,135995.0,XUANsHome,OEM,"Tô, chén, dĩa",869.0,235,22000,22000,0
194779476,Cây Dạ Lý Hương,36604.0,Cây Cảnh An Nhiên,OEM,Root,144.0,4,70000,70000,0
7583254,Vòi xịt vệ sinh inox - Vòi xịt bồn cầu inox SUS 304 cao cấp,291069.0,RUBY2,OEM,Vòi nước các loại,1505.0,7,151998,75999,50
184334157,"Đèn Học , Đèn Đọc Sách Để Bàn Chống Cận Có Ống Đựng Bút , Giá Đỡ Điện Thoại , Cổng Sạc Usb - Hàng Chính Hãng ",137411.0,Phụ Kiện Store 76,PaKaSa,Đèn bàn,217.0,6,380000,266000,30
95760230,[Quà Tặng] Gối Ôm Gòn Cao Cấp Thuần Việt,56226.0,NỆM THUẦN VIỆT,Nệm Thuần Việt,Ruột gối,151.0,93,599000,599000,0
160521556,"Rổ nhựa giả đan mây Việt Nhật đựng đồ dùng học tập, mỹ phẩm, trái cây",285421.0,Store H and k,OEM,Root,345.0,2,25000,25000,0
33337588,Áo Bọc Nệm Hai Mặt Có Khóa Đủ Kích Thước 10cm - Màu Ngẫu Nhiên,254905.0,Cửa hàng nệm trường phát,Happy,"Bộ ga, ra, drap",1199.0,67,95000,95000,0
